CUSTOMERID,LASTNAME,FIRSTNAME,GENDER,REGIONID,ID,NAME,COUNTY,STATE_CODE,STATE_CODE,STATE,REGION,ID,ID,CUSTOMERID,BROKERID,PRODUCTID,COMPLAINSTATUSID
2400511,Daniel,Rose,MALE,392,392,Berwyn,Cook County,IL,IL,Illinois,Midwest,14,,,,,
79333,Aaron,Schmidt,MALE,60,60,Chino,San Bernardino County,CA,CA,California,West,4,,,,,
724987,Evelyn,Cooper,FEMALE,647,647,Southaven,DeSoto County,MS,MS,Mississippi,South,25,,,,,
2385300,Andrew,Lewis,MALE,49,49,Berkeley,Alameda County,CA,CA,California,West,4,,,,,
2204119,Anthony,White,MALE,952,952,Richmond,Richmond city,VA,VA,Virginia,South,45,,,,,
669952,Jacqueline,Riley,FEMALE,573,573,Gaithersburg,Montgomery County,MD,MD,Maryland,South,20,,,,,
640550,Susan,Garcia,FEMALE,922,922,Victoria,Victoria County,TX,TX,Texas,South,43,,,,,
594293,Roy,Hawkins,MALE,493,493,Knight,Vanderburgh County,IN,IN,Indiana,Midwest,15,,,,,
2141073,Carlos,Mendoza,MALE,985,985,Kenosha,Kenosha County,WI,WI,Wisconsin,Midwest,47,,,,,
2116001,Lillian,Griffin,FEMALE,332,332,Pompano Beach,Broward County,FL,FL,Florida,South,9,,,,,
1806353,Aaron,Moore,MALE,828,828,Philadelphia,Philadelphia County,PA,PA,Pennsylvania,Northeast,38,,,,,
453890,Jerry,Washington,MALE,382,382,Idaho Falls,Bonneville County,ID,ID,Idaho,West,13,,,,,
1803847,Wayne,Taylor,MALE,145,145,Palmdale,Los Angeles County,CA,CA,California,West,4,,,,,
395020,Gloria,Reynolds,FEMALE,381,381,Caldwell,Canyon County,ID,ID,Idaho,West,13,,,,,
1746306,Carlos,Black,MALE,980,980,Yakima,Yakima County,WA,WA,Washington,West,46,,,,,
895186,Lawrence,Jacobs,MALE,161,161,Redding,Shasta County,CA,CA,California,West,4,,,,,
119090,Patrick,Young,MALE,327,327,Pensacola,Escambia County,FL,FL,Florida,South,9,,,,,
2007683,Bobby,Larson,MALE,840,840,Mount Pleasant,Charleston County,SC,SC,South Carolina,South,40,,,,,
1804179,Linda,Kelley,FEMALE,753,753,Mount Vernon,Westchester County,NY,NY,New York,Northeast,34,,,,,
1892683,Kathy,Dean,FEMALE,588,588,Farmington Hills,Oakland County,MI,MI,Michigan,Midwest,22,,,,,
32307,Kelly,Anderson,FEMALE,483,483,Fall Creek,Hamilton County,IN,IN,Indiana,Midwest,15,,,,,
632492,Julie,Ferguson,FEMALE,132,132,Moreno Valley,Riverside County,CA,CA,California,West,4,,,,,
891945,Daniel,Reed,MALE,663,663,Huntersville,Mecklenburg County,NC,NC,North Carolina,South,27,,,,,
647743,Bobby,Simmons,MALE,437,437,Northfield (Township),Cook County,IL,IL,Illinois,Midwest,14,,,,,
1897243,Wayne,Morrison,MALE,319,319,North Port,Sarasota County,FL,FL,Florida,South,9,,,,,
1911767,Andrea,Cooper,FEMALE,304,304,Jupiter,Palm Beach County,FL,FL,Florida,South,9,,,,,
248066,Carolyn,Fisher,FEMALE,638,638,Lee's Summit,Cass County/Jackson County,MO,MO,Missouri,Midwest,24,,,,,
698459,Ernest,Price,MALE,329,329,Pinellas Park,Pinellas County,FL,FL,Florida,South,9,,,,,
485216,Ruth,Schmidt,FEMALE,252,252,Greenwich,Fairfield County,CT,CT,Connecticut,Northeast,6,,,,,
878340,Walter,Bell,MALE,648,648,Billings,Yellowstone County,MT,MT,Montana,West,26,,,,,
2411071,Wayne,Williams,MALE,748,748,Irondequoit,Monroe County,NY,NY,New York,Northeast,34,,,,,
721478,Frances,Freeman,FEMALE,138,138,Norwalk,Los Angeles County,CA,CA,California,West,4,,,,,
532954,Robert,Jackson,MALE,151,151,Petaluma,Sonoma County,CA,CA,California,West,4,,,,,
2112390,Gerald,Hall,MALE,702,702,Passaic,Passaic County,NJ,NJ,New Jersey,Northeast,31,,,,,
1886752,Tina,Elliott,FEMALE,651,651,Asheville,Buncombe County,NC,NC,North Carolina,South,27,,,,,
1868143,Jesse,Powell,MALE,829,829,Pittsburgh,Allegheny County,PA,PA,Pennsylvania,Northeast,38,,,,,
854509,Jonathan,Banks,MALE,125,125,Menifee,Riverside County,CA,CA,California,West,4,,,,,
521252,Ralph,Peterson,MALE,957,957,Bellevue,King County,WA,WA,Washington,West,46,,,,,
1850773,Julia,Jackson,FEMALE,944,944,Hampton,Hampton city,VA,VA,Virginia,South,45,,,,,
536091,Mildred,Gonzalez,FEMALE,740,740,Clay,Onondaga County,NY,NY,New York,Northeast,34,,,,,
61403,Joan,Schmidt,FEMALE,651,651,Asheville,Buncombe County,NC,NC,North Carolina,South,27,,,,,
1815094,Roy,Gardner,MALE,25,25,Gilbert,Maricopa County,AZ,AZ,Arizona,West,3,,,,,
816041,Sara,Ross,FEMALE,844,844,Sioux Falls,Minnehaha County/Lincoln County,SD,SD,South Dakota,Midwest,41,,,,,
1830059,Jimmy,Lynch,MALE,873,873,Denton,Denton County,TX,TX,Texas,South,43,,,,,
364596,Kathy,Montgomery,FEMALE,451,451,Rich,Cook County,IL,IL,Illinois,Midwest,14,,,,,
1748940,Dorothy,Parker,FEMALE,974,974,Shoreline,King County,WA,WA,Washington,West,46,,,,,
1804815,Emily,Rodriguez,FEMALE,789,789,Parma,Cuyahoga County,OH,OH,Ohio,Midwest,35,,,,,
891131,Catherine,Henderson,FEMALE,32,32,San Tan Valley,Pinal County,AZ,AZ,Arizona,West,3,,,,,
887542,Carlos,Diaz,MALE,274,274,West Hartford (CDP),Hartford County,CT,CT,Connecticut,Northeast,6,,,,,
528373,Jeffrey,Ramos,MALE,187,187,Santa Clara,Santa Clara County,CA,CA,California,West,4,,,,,
1599259,Michael,Adams,MALE,978,978,Tacoma,Pierce County,WA,WA,Washington,West,46,,,,,
450760,Christine,Harrison,FEMALE,877,877,Euless,Tarrant County,TX,TX,Texas,South,43,,,,,
889097,Bruce,Owens,MALE,675,675,Omaha,Douglas County,NE,NE,Nebraska,Midwest,29,,,,,
